Wavelength,Responsivity
522.1,13.4296
522.2,13.4462
522.3,13.4627
522.4,13.4792
522.5,13.4957
522.6,13.5121
522.7,13.5284
522.8,13.5448
522.9,13.5611
523,13.5774
523.1,13.5936
523.2,13.6098
523.3,13.6259
523.4,13.642
523.5,13.6581
523.6,13.6742
523.7,13.6902
523.8,13.7061
523.9,13.7221
524,13.7379
524.1,13.7538
524.2,13.7696
524.3,13.7854
524.4,13.8011
524.5,13.8168
524.6,13.8325
524.7,13.8481
524.8,13.8637
524.9,13.8793
525,13.8948
525.1,13.9103
525.2,13.9257
525.3,13.9411
525.4,13.9565
525.5,13.9718
525.6,13.9871
525.7,14.0024
525.8,14.0176
525.9,14.0329
526,14.0482
526.1,14.0636
526.2,14.079
526.3,14.0945
526.4,14.11
526.5,14.1256
526.6,14.1412
526.7,14.1569
526.8,14.1726
526.9,14.1884
527,14.2042
527.1,14.2201
527.2,14.236
527.3,14.252
527.4,14.268
527.5,14.2841
527.6,14.3002
527.7,14.3164
527.8,14.3326
527.9,14.3489
528,14.3652
528.1,14.3816
528.2,14.3981
528.3,14.4145
528.4,14.4311
528.5,14.4477
528.6,14.4643
528.7,14.481
528.8,14.4977
528.9,14.5145
529,14.5313
529.1,14.5482
529.2,14.5651
529.3,14.5821
529.4,14.5992
529.5,14.6163
529.6,14.6334
529.7,14.6506
529.8,14.6678
529.9,14.6851
530,14.7025
530.1,14.7198
530.2,14.7373
530.3,14.7548
530.4,14.7723
530.5,14.7899
530.6,14.8076
530.7,14.8253
530.8,14.843
530.9,14.8608
531,14.8786
531.1,14.8965
531.2,14.9145
531.3,14.9325
531.4,14.9505
531.5,14.9686
531.6,14.9868
531.7,15.005
531.8,15.0232
531.9,15.0415
532,15.0599
532.1,15.0783
532.2,15.0967
532.3,15.1152
532.4,15.1338
532.5,15.1524
532.6,15.171
532.7,15.1897
532.8,15.2085
532.9,15.2273
533,15.2462
533.1,15.2651
533.2,15.284
533.3,15.303
533.4,15.3221
533.5,15.3412
533.6,15.3603
533.7,15.3796
533.8,15.3988
533.9,15.4181
534,15.4375
534.1,15.4569
534.2,15.4764
534.3,15.4959
534.4,15.5154
534.5,15.535
534.6,15.5547
534.7,15.5744
534.8,15.5942
534.9,15.614
535,15.6339
535.1,15.6538
535.2,15.6737
535.3,15.6938
535.4,15.7138
535.5,15.7339
535.6,15.7541
535.7,15.7743
535.8,15.7946
535.9,15.8149
536,15.8353
536.1,15.8557
536.2,15.8762
536.3,15.8967
536.4,15.9173
536.5,15.9379
536.6,15.9586
536.7,15.9793
536.8,16.0001
536.9,16.0209
537,16.0418
537.1,16.0627
537.2,16.0837
537.3,16.1047
537.4,16.1258
537.5,16.1468
537.6,16.1678
537.7,16.1887
537.8,16.2096
537.9,16.2304
538,16.2511
538.1,16.2718
538.2,16.2924
538.3,16.313
538.4,16.3335
538.5,16.354
538.6,16.3744
538.7,16.3948
538.8,16.4151
538.9,16.4353
539,16.4555
539.1,16.4756
539.2,16.4956
539.3,16.5156
539.4,16.5356
539.5,16.5555
539.6,16.5753
539.7,16.5951
539.8,16.6148
539.9,16.6345
540,16.6541
540.1,16.6736
540.2,16.6931
540.3,16.7125
540.4,16.7319
540.5,16.7512
540.6,16.7705
540.7,16.7897
540.8,16.8088
540.9,16.8279
541,16.8469
541.1,16.8659
541.2,16.8848
541.3,16.9037
541.4,16.9225
541.5,16.9412
541.6,16.9599
541.7,16.9785
541.8,16.9971
541.9,17.0156
542,17.034
542.1,17.0524
542.2,17.0708
542.3,17.0891
542.4,17.1073
542.5,17.1254
542.6,17.1436
542.7,17.1616
542.8,17.1796
542.9,17.1975
543,17.2154
543.1,17.2332
543.2,17.251
543.3,17.2687
543.4,17.2864
543.5,17.304
543.6,17.3215
543.7,17.339
543.8,17.3564
543.9,17.3737
544,17.3911
544.1,17.4083
544.2,17.4255
544.3,17.4426
544.4,17.4597
544.5,17.4767
544.6,17.4937
544.7,17.5106
544.8,17.5274
544.9,17.5442
545,17.5609
545.1,17.5776
545.2,17.5942
545.3,17.6108
545.4,17.6273
545.5,17.6437
545.6,17.6601
545.7,17.6764
545.8,17.6927
545.9,17.7089
546,17.7251
546.1,17.7412
546.2,17.7572
546.3,17.7732
546.4,17.7891
546.5,17.805
546.6,17.8208
546.7,17.8366
546.8,17.8523
546.9,17.8679
547,17.8835
547.1,17.899
547.2,17.9145
547.3,17.9299
547.4,17.9452
547.5,17.9605
547.6,17.9758
547.7,17.991
547.8,18.0061
547.9,18.0211
548,18.0362
548.1,18.0511
548.2,18.066
548.3,18.0808
548.4,18.0956
548.5,18.1104
548.6,18.1252
548.7,18.14
548.8,18.1548
548.9,18.1696
549,18.1845
549.1,18.1994
549.2,18.2144
549.3,18.2293
549.4,18.2443
549.5,18.2593
549.6,18.2743
549.7,18.2894
549.8,18.3044
549.9,18.3195
550,18.3346
550.1,18.3498
550.2,18.365
550.3,18.3802
550.4,18.3954
550.5,18.4106
550.6,18.4259
550.7,18.4412
550.8,18.4565
550.9,18.4718
551,18.4872
551.1,18.5026
551.2,18.518
551.3,18.5334
551.4,18.5489
551.5,18.5643
551.6,18.5799
551.7,18.5954
551.8,18.6109
551.9,18.6265
552,18.6421
552.1,18.6577
552.2,18.6734
552.3,18.6891
552.4,18.7048
552.5,18.7205
552.6,18.7362
552.7,18.752
552.8,18.7678
552.9,18.7836
553,18.7995
553.1,18.8153
553.2,18.8312
553.3,18.8471
553.4,18.8631
553.5,18.879
553.6,18.895
553.7,18.911
553.8,18.9271
553.9,18.9431
554,18.9592
554.1,18.9753
554.2,18.9915
554.3,19.0076
554.4,19.0238
554.5,19.04
554.6,19.0562
554.7,19.0725
554.8,19.0888
554.9,19.1051
555,19.1214
555.1,19.1377
555.2,19.1541
555.3,19.1705
555.4,19.1869
555.5,19.2034
555.6,19.2199
555.7,19.2363
555.8,19.2529
555.9,19.2694
556,19.286
556.1,19.3026
556.2,19.3192
556.3,19.3358
556.4,19.3525
556.5,19.3692
556.6,19.3859
556.7,19.4026
556.8,19.4194
556.9,19.4362
557,19.453
557.1,19.4698
557.2,19.4866
557.3,19.5035
557.4,19.5204
557.5,19.5374
557.6,19.5543
557.7,19.5713
557.8,19.5883
557.9,19.6053
558,19.6224
558.1,19.6394
558.2,19.6565
558.3,19.6736
558.4,19.6908
558.5,19.708
558.6,19.7252
558.7,19.7424
558.8,19.7596
558.9,19.7769
559,19.7942
559.1,19.8115
559.2,19.8288
559.3,19.8462
559.4,19.8636
559.5,19.881
559.6,19.8984
559.7,19.9159
559.8,19.9333
559.9,19.9508
560,19.9684
560.1,19.9859
560.2,20.0035
560.3,20.0211
560.4,20.0387
560.5,20.0564
560.6,20.0741
560.7,20.0918
560.8,20.1095
560.9,20.1272
561,20.145
561.1,20.1628
561.2,20.1806
561.3,20.1985
561.4,20.2163
561.5,20.2342
561.6,20.2521
561.7,20.27
561.8,20.2879
561.9,20.3057
562,20.3236
562.1,20.3414
562.2,20.3593
562.3,20.3771
562.4,20.3949
562.5,20.4127
562.6,20.4305
562.7,20.4483
562.8,20.4661
562.9,20.4839
563,20.5016
